Continent,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Cupper.Points,Total.Cup.Points,Moisture
Africa,8.67,8.83,8.67,8.75,8.5,8.42,8.75,90.58,0.12
Africa,8.75,8.67,8.5,8.58,8.42,8.42,8.58,89.92,0.12
Africa,8.17,8.58,8.42,8.42,8.5,8.25,8.67,89,0.11
Africa,8.25,8.5,8.25,8.5,8.42,8.33,8.58,88.83,0.12
Africa,8.25,8.33,8.5,8.42,8.33,8.5,9,88.67,0.03
Africa,8.67,8.67,8.58,8.42,8.33,8.42,8.67,88.42,0.03
Africa,8.08,8.58,8.5,8.5,7.67,8.42,8.5,88.25,0.1
Africa,8.17,8.67,8.25,8.5,7.75,8.17,8.58,88.08,0.1
Africa,8.25,8.33,8.5,8.25,8.58,8.75,8.5,87.83,0.05
Africa,8.17,8.33,8.25,8.33,8.42,8.33,8.83,87.33,0.05
Africa,8.17,8.17,8,8.17,8.08,8.33,8.33,87.25,0
Africa,8.42,8.17,7.92,8.17,8.33,8,8.08,87.08,0.11
Africa,7.83,8.25,8.08,8.17,8.17,8.17,8.25,86.92,0.05
Africa,8.42,8.17,8.17,8.17,7.83,7.92,8.17,86.83,0.12
North America,8.17,8.08,8.08,8,8.08,8,8.25,86.67,0.1
North America,7.92,8.25,8,8.33,8,8.08,8,86.58,0.08
Africa,8,8.08,7.92,8,8.08,8.08,8.08,86.25,0.1
Africa,8.08,8,8,8.25,7.92,7.92,8.08,86.25,0.12
Africa,7.92,7.75,8.08,8.08,8.08,8.17,8.17,86.25,0.1
Africa,8.08,8.08,8,8,7.83,8.08,8,86.08,0.11
Africa,8.08,8.08,7.83,7.92,8.08,7.92,8.08,86,0
Africa,7.92,8.17,7.83,8.5,7.5,7.92,8.17,86,0.11
Africa,8.25,8,7.83,8.08,8,7.92,7.92,86,0.1
Africa,7.75,8.08,8,8.25,8,8,7.92,86,0.01
Africa,8.17,8.17,7.92,8.08,7.83,7.75,8,85.92,0.12
Africa,7.83,8.08,7.92,8.08,8,7.92,8,85.83,0.1
Africa,7.83,8,7.83,8.17,7.92,8,8,85.75,0.09
North America,7.92,8.17,8,7.92,7.75,7.83,8,85.58,0.1
North America,7.83,8,8,7.75,7.92,8.17,7.92,85.58,0.11
Africa,7.92,7.92,7.83,8.08,7.83,7.92,8,85.5,0.1
Africa,7.83,8,7.83,7.92,7.83,8.08,8,85.5,0.12
Africa,8.33,7.92,7.67,7.92,7.67,7.92,8.08,85.5,0.12
Africa,7.75,7.83,7.83,8.17,7.92,7.83,8.08,85.42,0.1
Africa,8.08,8,7.83,7.67,8,7.83,8,85.42,0.12
North America,8.08,7.83,7.83,8.08,7.83,7.83,7.92,85.42,0.01
Africa,7.83,8.08,7.75,8.08,7.92,7.75,7.92,85.33,0
Africa,8,7.92,7.92,8.08,7.83,7.75,7.83,85.33,0
Africa,7.83,7.83,7.92,8.08,7.75,7.83,8.08,85.33,0.05
Africa,7.92,7.83,7.75,8.33,7.75,7.75,8,85.33,0.1
